Game ID,Date,Offense Name,Offense ID,Offense Games Played,Offense Home,Offense AVG,Offense OBP,Offense SLG,Offense OPS,Offense Runs,Defense Name,Defense ID,Defense Games Played,Pitcher Name,Pitcher ID,Pitcher Starts,Pitcher ERA,Pitcher WHIP,Pitcher Innings,Pitcher Strikeouts,Pitcher Runs
718781,3/30/2023,San Francisco Giants,137,1,False,0.133,0.212,0.133,0.345,0,New York Yankees,147,1,Gerrit Cole,543037,1,0.0,0.83,6.0,11,0
718781,3/30/2023,New York Yankees,147,1,True,0.25,0.294,0.438,0.732,5,San Francisco Giants,137,1,Logan Webb,657277,1,6.0,1.0,6.0,12,4
718779,3/30/2023,Philadelphia Phillies,143,1,False,0.308,0.341,0.641,0.982,7,Texas Rangers,140,1,Jacob deGrom,594798,1,12.27,1.64,3.2,7,5
718779,3/30/2023,Texas Rangers,140,1,True,0.313,0.421,0.531,0.952,11,Philadelphia Phillies,143,1,Aaron Nola,605400,1,12.27,1.64,3.2,4,5
718776,3/30/2023,Detroit Tigers,116,1,False,0.188,0.257,0.25,0.507,0,Tampa Bay Rays,139,1,Shane McClanahan,663556,1,0.0,0.83,6.0,6,0
718776,3/30/2023,Tampa Bay Rays,139,1,True,0.207,0.281,0.414,0.695,4,Detroit Tigers,116,1,Eduardo Rodriguez,593958,1,5.06,0.94,5.1,5,3
718777,3/30/2023,Milwaukee Brewers,158,1,False,0.138,0.265,0.138,0.403,0,Chicago Cubs,112,1,Marcus Stroman,573186,1,0.0,1.0,6.0,8,0
718777,3/30/2023,Chicago Cubs,112,1,True,0.2,0.314,0.2,0.514,4,Milwaukee Brewers,158,1,Corbin Burnes,669203,1,7.2,1.4,5.0,3,4
718780,3/30/2023,Atlanta Braves,144,1,False,0.3,0.391,0.35,0.741,7,Washington Nationals,120,1,Patrick Corbin,571578,1,6.0,3.33,3.0,3,4
718780,3/30/2023,Washington Nationals,120,1,True,0.242,0.316,0.273,0.589,2,Atlanta Braves,144,1,Max Fried,608331,1,2.7,1.2,3.1,2,1
718770,3/30/2023,Arizona Diamondbacks,109,1,False,0.143,0.167,0.179,0.346,2,Los Angeles Dodgers,119,1,Julio Urias,628711,1,3.0,0.67,6.0,6,2
718770,3/30/2023,Los Angeles Dodgers,119,1,True,0.353,0.425,0.5,0.925,8,Arizona Diamondbacks,109,1,Zac Gallen,668678,1,9.64,1.93,4.2,7,5
718767,3/30/2023,Cleveland Guardians,114,1,False,0.129,0.129,0.161,0.29,0,Seattle Mariners,136,1,Luis Castillo,622491,1,0.0,0.17,6.0,6,0
718767,3/30/2023,Seattle Mariners,136,1,True,0.233,0.281,0.4,0.681,3,Cleveland Guardians,114,1,Shane Bieber,669456,1,0.0,1.0,6.0,3,0
718775,3/30/2023,Minnesota Twins,142,1,False,0.297,0.366,0.351,0.717,2,Kansas City Royals,118,1,Zack Greinke,425844,1,3.38,1.5,5.1,4,2
718775,3/30/2023,Kansas City Royals,118,1,True,0.074,0.242,0.111,0.353,0,Minnesota Twins,142,1,Pablo Lopez,641154,1,0.0,0.94,5.1,8,0
718778,3/30/2023,Colorado Rockies,115,1,False,0.386,0.4,0.682,1.082,7,San Diego Padres,135,1,Blake Snell,605483,1,6.23,1.62,4.1,9,3
718778,3/30/2023,San Diego Padres,135,1,True,0.219,0.235,0.313,0.548,2,Colorado Rockies,115,1,German Marquez,608566,1,3.0,0.83,6.0,5,2
718769,3/30/2023,Los Angeles Angels,108,1,False,0.161,0.257,0.161,0.418,1,Oakland Athletics,133,1,Kyle Muller,666205,1,1.8,1.0,5.0,3,1
718769,3/30/2023,Oakland Athletics,133,1,True,0.207,0.303,0.276,0.579,2,Los Angeles Angels,108,1,Shohei Ohtani,660271,1,0.0,0.83,6.0,10,0
718774,3/30/2023,New York Mets,121,1,False,0.25,0.35,0.281,0.631,5,Miami Marlins,146,1,Sandy Alcantara,645261,1,4.76,1.24,5.2,2,3
718774,3/30/2023,Miami Marlins,146,1,True,0.167,0.219,0.367,0.586,3,New York Mets,121,1,Max Scherzer,453286,1,4.5,1.0,6.0,6,3
718773,3/30/2023,Pittsburgh Pirates,134,1,False,0.2,0.375,0.333,0.708,5,Cincinnati Reds,113,1,Hunter Greene,668881,1,8.1,2.4,3.1,8,3
718773,3/30/2023,Cincinnati Reds,113,1,True,0.212,0.333,0.394,0.727,4,Pittsburgh Pirates,134,1,Mitch Keller,656605,1,7.71,1.93,4.2,8,4
718782,3/30/2023,Baltimore Orioles,110,1,False,0.395,0.521,0.658,1.179,10,Boston Red Sox,111,1,Corey Kluber,446372,1,13.5,3.0,3.1,4,5
718782,3/30/2023,Boston Red Sox,111,1,True,0.314,0.39,0.429,0.819,9,Baltimore Orioles,110,1,Kyle Gibson,502043,1,7.2,1.4,5.0,3,4
718768,3/30/2023,Chicago White Sox,145,1,False,0.289,0.325,0.421,0.746,3,Houston Astros,117,1,Framber Valdez,664285,1,0.0,1.2,5.0,4,0
718768,3/30/2023,Houston Astros,117,1,True,0.133,0.212,0.233,0.445,2,Chicago White Sox,145,1,Dylan Cease,656302,1,1.42,0.32,6.1,10,1
718772,3/30/2023,Toronto Blue Jays,141,1,False,0.442,0.469,0.512,0.981,10,St. Louis Cardinals,138,1,Miles Mikolas,571945,1,13.5,3.0,3.1,6,5
718772,3/30/2023,St. Louis Cardinals,138,1,True,0.366,0.447,0.561,1.008,9,Toronto Blue Jays,141,1,Alek Manoah,666201,1,13.5,3.3,3.1,3,5
718766,3/31/2023,Colorado Rockies,115,2,False,0.329,0.369,0.532,0.901,4,San Diego Padres,135,2,Nick Martinez,607259,1,5.14,1.14,7.0,5,4
718766,3/31/2023,San Diego Padres,135,2,True,0.197,0.227,0.279,0.506,1,Colorado Rockies,115,2,Kyle Freeland,607536,1,0.0,0.67,6.0,1,0
718771,3/31/2023,New York Mets,121,2,False,0.197,0.301,0.279,0.58,1,Miami Marlins,146,2,Jesus Luzardo,666200,1,0.0,1.06,5.2,5,0
718771,3/31/2023,Miami Marlins,146,2,True,0.242,0.277,0.468,0.745,2,New York Mets,121,2,David Peterson,656849,1,1.8,1.8,5.0,5,1
