Date,Game,Away Team,Home Team,Away,Home,Draw
2023-03-30,Atlanta Braves @ Washington Nationals,Atlanta Braves,Washington Nationals,-250,+195,-148
2023-03-30,San Francisco Giants @ New York Yankees,San Francisco Giants,New York Yankees,+140,+325,-205
2023-03-30,Baltimore Orioles @ Boston Red Sox,Baltimore Orioles,Boston Red Sox,EVEN,-120,-132
2023-03-30,Milwaukee Brewers @ Chicago Cubs,Milwaukee Brewers,Chicago Cubs,-139,+112,-195
2023-03-30,Detroit Tigers @ Tampa Bay Rays,Detroit Tigers,Tampa Bay Rays,+185,-225,-177
2023-03-30,Philadelphia Phillies @ Texas Rangers,Philadelphia Phillies,Texas Rangers,+450,-162,-200
2023-03-30,Minnesota Twins @ Kansas City Royals,Minnesota Twins,Kansas City Royals,-175,+135,-122
2023-03-30,New York Mets @ Miami Marlins,New York Mets,Miami Marlins,-132,+106,-190
2023-03-30,Pittsburgh Pirates @ Cincinnati Reds,Pittsburgh Pirates,Cincinnati Reds,+117,-148,-157
2023-03-30,Toronto Blue Jays @ St Louis Cardinals,Toronto Blue Jays,St Louis Cardinals,-110,-105,-150
2023-03-30,Chicago White Sox @ Houston Astros,Chicago White Sox,Houston Astros,+118,+270,-155
2023-03-30,Colorado Rockies @ San Diego Padres,Colorado Rockies,San Diego Padres,+165,-190,-175
2023-03-30,Los Angeles Angels @ Oakland Athletics,Los Angeles Angels,Oakland Athletics,-245,+190,-177
2023-03-30,Cleveland Guardians @ Seattle Mariners,Cleveland Guardians,Seattle Mariners,EVEN,-122,-186
2023-03-30,Arizona Diamondbacks @ Los Angeles Dodgers,Arizona Diamondbacks,Los Angeles Dodgers,+138,-160,-167
2023-03-31,New York Mets @ Miami Marlins,New York Mets,Miami Marlins,-108,-115,-159
2023-03-31,Chicago White Sox @ Houston Astros,Chicago White Sox,Houston Astros,+130,-140,-159
2023-03-31,Colorado Rockies @ San Diego Padres,Colorado Rockies,San Diego Padres,+400,-182,-148
2023-03-31,Arizona Diamondbacks @ Los Angeles Dodgers,Arizona Diamondbacks,Los Angeles Dodgers,+170,-190,-150
2023-03-31,Cleveland Guardians @ Seattle Mariners,Cleveland Guardians,Seattle Mariners,+145,-182,-148
2023-04-01,Chicago White Sox @ Houston Astros,Chicago White Sox,Houston Astros,+108,-134,-127
2023-04-01,Toronto Blue Jays @ St Louis Cardinals,Toronto Blue Jays,St Louis Cardinals,+285,+370,-155
2023-04-01,Milwaukee Brewers @ Chicago Cubs,Milwaukee Brewers,Chicago Cubs,-125,+105,-200
2023-04-01,Atlanta Braves @ Washington Nationals,Atlanta Braves,Washington Nationals,-260,+220,-121
2023-04-01,Philadelphia Phillies @ Texas Rangers,Philadelphia Phillies,Texas Rangers,-120,EVEN,-162
2023-04-01,San Francisco Giants @ New York Yankees,San Francisco Giants,New York Yankees,+114,+255,-137
2023-04-01,Los Angeles Angels @ Oakland Athletics,Los Angeles Angels,Oakland Athletics,-177,+450,-155
2023-04-01,Baltimore Orioles @ Boston Red Sox,Baltimore Orioles,Boston Red Sox,+140,-175,-121
2023-04-01,New York Mets @ Miami Marlins,New York Mets,Miami Marlins,-104,-121,-148
2023-04-01,Minnesota Twins @ Kansas City Royals,Minnesota Twins,Kansas City Royals,-175,+138,-152
2023-04-01,Pittsburgh Pirates @ Cincinnati Reds,Pittsburgh Pirates,Cincinnati Reds,+350,-155,-155
2023-04-01,Detroit Tigers @ Tampa Bay Rays,Detroit Tigers,Tampa Bay Rays,+143,-180,-157
2023-04-01,Colorado Rockies @ San Diego Padres,Colorado Rockies,San Diego Padres,+400,+230,-136
2023-04-01,Arizona Diamondbacks @ Los Angeles Dodgers,Arizona Diamondbacks,Los Angeles Dodgers,+500,+195,-134
2023-04-01,Cleveland Guardians @ Seattle Mariners,Cleveland Guardians,Seattle Mariners,+112,+300,-159
2023-04-02,Detroit Tigers @ Tampa Bay Rays,Detroit Tigers,Tampa Bay Rays,+420,+225,-139
2023-04-02,Baltimore Orioles @ Boston Red Sox,Baltimore Orioles,Boston Red Sox,+115,+270,-130
2023-04-02,Atlanta Braves @ Washington Nationals,Atlanta Braves,Washington Nationals,-160,+143,-139
2023-04-02,San Francisco Giants @ New York Yankees,San Francisco Giants,New York Yankees,+118,-148,-136
2023-04-02,New York Mets @ Miami Marlins,New York Mets,Miami Marlins,-109,+310,-141
2023-04-02,Pittsburgh Pirates @ Cincinnati Reds,Pittsburgh Pirates,Cincinnati Reds,+118,-140,-141
2023-04-02,Minnesota Twins @ Kansas City Royals,Minnesota Twins,Kansas City Royals,+290,+290,-130
2023-04-02,Chicago White Sox @ Houston Astros,Chicago White Sox,Houston Astros,+114,+295,-159
2023-04-02,Toronto Blue Jays @ St Louis Cardinals,Toronto Blue Jays,St Louis Cardinals,-105,+335,-157
2023-04-02,Milwaukee Brewers @ Chicago Cubs,Milwaukee Brewers,Chicago Cubs,+320,-125,-137
2023-04-02,Los Angeles Angels @ Oakland Athletics,Los Angeles Angels,Oakland Athletics,-157,+375,-157
2023-04-02,Colorado Rockies @ San Diego Padres,Colorado Rockies,San Diego Padres,+400,+260,-150
2023-04-02,Cleveland Guardians @ Seattle Mariners,Cleveland Guardians,Seattle Mariners,-106,-118,-136
2023-04-02,Arizona Diamondbacks @ Los Angeles Dodgers,Arizona Diamondbacks,Los Angeles Dodgers,+370,-180,-120
2023-04-02,Philadelphia Phillies @ Texas Rangers,Philadelphia Phillies,Texas Rangers,+112,-137,-124
2023-04-03,New York Mets @ Milwaukee Brewers,New York Mets,Milwaukee Brewers,-105,-115,-137
2023-04-03,San Francisco Giants @ Chicago White Sox,San Francisco Giants,Chicago White Sox,+115,-129,-141
2023-04-03,Minnesota Twins @ Miami Marlins,Minnesota Twins,Miami Marlins,-139,+112,-150
2023-04-03,Chicago Cubs @ Cincinnati Reds,Chicago Cubs,Cincinnati Reds,+285,EVEN,-124
2023-04-03,Philadelphia Phillies @ New York Yankees,Philadelphia Phillies,New York Yankees,+140,-177,-127
2023-04-03,Tampa Bay Rays @ Washington Nationals,Tampa Bay Rays,Washington Nationals,-165,+145,-157
2023-04-03,Pittsburgh Pirates @ Boston Red Sox,Pittsburgh Pirates,Boston Red Sox,+116,-143,-130
2023-04-03,Toronto Blue Jays @ Kansas City Royals,Toronto Blue Jays,Kansas City Royals,+300,+102,-143
2023-04-03,Atlanta Braves @ St Louis Cardinals,Atlanta Braves,St Louis Cardinals,+240,+340,-130
2023-04-03,Baltimore Orioles @ Texas Rangers,Baltimore Orioles,Texas Rangers,+116,-143,-136
2023-04-03,Detroit Tigers @ Houston Astros,Detroit Tigers,Houston Astros,+155,+240,-141
