Date,Away Team,Away Line,Away Odds,Home Team,Home Line,Home Odds
2022-10-19,Washington Wizards,-2.5,-110,Indiana Pacers,+2.5,-110
2022-10-19,Orlando Magic,+2.5,-106,Detroit Pistons,-2.5,-114
2022-10-19,Cleveland Cavaliers,+4.5,-112,Toronto Raptors,-4.5,-108
2022-10-19,Chicago Bulls,+4.5,-106,Miami Heat,-4.5,-114
2022-10-19,New Orleans Hornets,+2.5,-106,Brooklyn Nets,-2.5,-114
2022-10-19,Houston Rockets,+9.5,-110,Atlanta Hawks,-9.5,-110
2022-10-19,New York Knicks,+7.5,-112,Memphis Grizzlies,-7.5,-108
2022-10-19,Oklahoma City Thunder,+9.5,-110,Minnesota Timberwolves,-9.5,-110
2022-10-19,Charlotte Hornets,-2.5,-112,San Antonio Spurs,+2.5,-108
2022-10-19,Denver Nuggets,-4.5,-110,Utah Jazz,+4.5,-110
2022-10-19,Portland Trail Blazers,+1.5,-110,Sacramento Kings,-1.5,-110
2022-10-19,Dallas Mavericks,+5.5,-110,Phoenix Suns,-5.5,-110
2022-10-20,Milwaukee Bucks,+1.5,-110,Philadelphia 76ers,-1.5,-110
2022-10-20,Los Angeles Clippers,-2.5,-110,Los Angeles Lakers,+2.5,-110
2022-10-21,San Antonio Spurs,+5.0,-110,Indiana Pacers,-5.0,-110
2022-10-21,New Orleans Hornets,-5.5,-110,Charlotte Hornets,+5.5,-110
2022-10-21,Chicago Bulls,-1.5,-110,Washington Wizards,+1.5,-110
2022-10-21,Toronto Raptors,+4.0,-110,Brooklyn Nets,-4.0,-110
2022-10-21,Boston Celtics,-1.5,-110,Miami Heat,+1.5,-110
2022-10-21,Orlando Magic,+8.0,-110,Atlanta Hawks,-8.0,-110
2022-10-21,Detroit Pistons,+5.5,-110,New York Knicks,-5.5,-110
2022-10-21,Utah Jazz,+8.0,-110,Minnesota Timberwolves,-8.0,-110
2022-10-21,Memphis Grizzlies,-5.0,-110,Houston Rockets,+5.0,-110
2022-10-21,Phoenix Suns,-3.0,-110,Portland Trail Blazers,+3.0,-110
2022-10-21,Denver Nuggets,+5.5,-110,Golden State Warriors,-5.5,-110
2022-10-22,San Antonio Spurs,+13.5,-110,Philadelphia 76ers,-13.5,-110
2022-10-22,Detroit Pistons,-1.5,-110,Indiana Pacers,+1.5,-110
2022-10-22,Boston Celtics,-7.0,-110,Orlando Magic,+7.0,-110
2022-10-22,Cleveland Cavaliers,-2.0,-110,Chicago Bulls,+2.0,-110
2022-10-22,Houston Rockets,+12.5,-110,Milwaukee Bucks,-12.5,-110
2022-10-22,Toronto Raptors,+3.0,-110,Miami Heat,-3.0,-110
